-------------------------
Time: 2025-06-14 04:02:00 | *** Validation Epoch 0 End ***
  - Val Loss: 0.6413
  - Val Acc:  0.6602
  - Val F1:   0.4284
-------------------------
==================================================
Run Name: 20250614_040151_gpt2_dora
Training started at: 2025-06-14 04:02:02
==================================================

--- Hyperparameters ---
-------------------------

Time: 2025-06-14 05:54:08 | Step: 13950 | Train Loss: 0.2187
Time: 2025-06-14 05:54:30 | Step: 14000 | Train Loss: 0.3837
Time: 2025-06-14 05:54:53 | Step: 14050 | Train Loss: 0.4243
Time: 2025-06-14 05:55:15 | Step: 14100 | Train Loss: 0.4550
Time: 2025-06-14 05:55:38 | Step: 14150 | Train Loss: 0.4100
Time: 2025-06-14 05:56:00 | Step: 14200 | Train Loss: 0.3070
Time: 2025-06-14 05:56:23 | Step: 14250 | Train Loss: 0.2986
Time: 2025-06-14 05:56:45 | Step: 14300 | Train Loss: 0.4297
Time: 2025-06-14 05:57:08 | Step: 14350 | Train Loss: 0.3942
Time: 2025-06-14 05:57:30 | Step: 14400 | Train Loss: 0.3154
Time: 2025-06-14 05:57:53 | Step: 14450 | Train Loss: 0.3357
Time: 2025-06-14 05:58:15 | Step: 14500 | Train Loss: 0.3862
Time: 2025-06-14 05:58:38 | Step: 14550 | Train Loss: 0.2751
Time: 2025-06-14 05:59:00 | Step: 14600 | Train Loss: 0.4667
Time: 2025-06-14 05:59:23 | Step: 14650 | Train Loss: 0.3798
Time: 2025-06-14 05:59:45 | Step: 14700 | Train Loss: 0.2725
Time: 2025-06-14 06:00:08 | Step: 14750 | Train Loss: 0.3831
Time: 2025-06-14 06:00:30 | Step: 14800 | Train Loss: 0.3479
Time: 2025-06-14 06:00:53 | Step: 14850 | Train Loss: 0.3419
Time: 2025-06-14 06:01:15 | Step: 14900 | Train Loss: 0.3540
Time: 2025-06-14 06:01:38 | Step: 14950 | Train Loss: 0.4391
Time: 2025-06-14 06:02:00 | Step: 15000 | Train Loss: 0.3736
Time: 2025-06-14 06:02:23 | Step: 15050 | Train Loss: 0.3695
Time: 2025-06-14 06:02:45 | Step: 15100 | Train Loss: 0.3725
Time: 2025-06-14 06:03:08 | Step: 15150 | Train Loss: 0.4967
Time: 2025-06-14 06:03:30 | Step: 15200 | Train Loss: 0.3784
Time: 2025-06-14 06:03:53 | Step: 15250 | Train Loss: 0.2988
Time: 2025-06-14 06:04:15 | Step: 15300 | Train Loss: 0.2910
Time: 2025-06-14 06:04:38 | Step: 15350 | Train Loss: 0.2964
Time: 2025-06-14 06:05:01 | Step: 15400 | Train Loss: 0.3329
Time: 2025-06-14 06:05:23 | Step: 15450 | Train Loss: 0.3504
-------------------------
